730;Counter-Strike: Global Offensive;8/21/2012;2;Action;Free to Play;;0.00
440;Team Fortress 2;10/10/2007;2;Action;Free to Play;;0.00
578080;PUBG: BATTLEGROUNDS;12/21/2017;3;Action;Adventure;Free to Play;0.00
1063730;New World;9/28/2021;3;2;39.99
252950;Rocket League®;07/06/2015;3;Action;Indie;Racing;0.00
489830;The Elder Scrolls V: Skyrim Special Edition;10/27/2016;1;RPG;;;39.99
232770;POSTAL;11/14/1997;2;Action;Indie;;0.00
367520;Hollow Knight;2/24/2017;3;Action;Adventure;Indie;14.99
218230;PlanetSide 2;11/20/2012;3;Action;Free to Play;Massively Multiplayer;0.00
8930;Sid Meier's Civilization® V;9/21/2010;1;Strategy;;;29.99
466240;Deceit;03/03/2017;3;Action;Free to Play;Indie;0.00
594570;Total War: WARHAMMER II;9/28/2017;2;Action;Strategy;;59.99
233450;Prison Architect;10/06/2015;3;Indie;Simulation;Strategy;29.99
374320;DARK SOULS™ III;04/11/2016;1;Action;;;59.99
413150;Stardew Valley;2/26/2016;3;Indie;RPG;Simulation;14.99
1174180;Red Dead Redemption 2;12/05/2019;2;Action;Adventure;;29.99
10190;Call of Duty®: Modern Warfare® 2 (2009);11/11/2009;1;Action;;;19.99
1203220;NARAKA: BLADEPOINT;08/11/2021;3;Action;Adventure;Massively Multiplayer;19.99
250900;The Binding of Isaac: Rebirth;11/04/2014;1;Action;;;14.99
223470;POSTAL 2;11/02/2012;3;Action;Adventure;Indie;9.99
273110;Counter-Strike Nexon: Studio;10/07/2014;3;Action;Casual;Free to Play;0.00
40;Deathmatch Classic;06/01/2001;1;Action;;;4.99
370910;Kathy Rain;05/05/2016;2;Adventure;Indie;;14.99
648800;Raft;6/20/2022;3;Adventure;Indie;Simulation;19.99
285800;Braveland;3/17/2014;3;Adventure;Casual;Indie;6.99
300;Day of Defeat: Source;07/12/2010;1;Action;;;9.99
225840;Sven Co-op;1/22/2016;3;Action;Casual;Free to Play;0.00
278360;A Story About My Uncle;5/28/2014;3;Adventure;Casual;Indie;14.99
219990;Grim Dawn;2/25/2016;3;Action;Adventure;Indie;24.99
632360;Risk of Rain 2;08/11/2020;2;Action;Indie;;24.99
231430;Company of Heroes 2;6/25/2013;1;Strategy;;;19.99
360;Half-Life Deathmatch: Source;05/01/2006;1;Action;;;9.99
582660;Black Desert;5/24/2017;3;Action;Adventure;Massively Multiplayer;9.99
420;Half-Life 2: Episode Two;10/10/2007;1;Action;;;7.99
239140;Dying Light;1/26/2015;2;Action;RPG;;29.99
251570;7 Days to Die;12/13/2013;3;Action;Adventure;Indie;24.99
700330;SCP: Secret Laboratory;12/29/2017;2;Action;Free to Play;;0.00
30;Day of Defeat;05/01/2003;1;Action;;;4.99
275390;Guacamelee! Super Turbo Championship Edition;8/21/2014;3;Action;Adventure;Indie;4.99
438100;VRChat;02/01/2017;3;Adventure;Casual;Free to Play;0.00
72850;The Elder Scrolls V: Skyrim;11/10/2011;1;RPG;;;19.99
268500;XCOM® 2;02/04/2016;1;Strategy;;;8.99
863550;HITMAN™ 2;11/13/2018;1;Action;;;0.00
